model_id,asteroid_id,lambda,beta,period,number,name,designation,reference_id,bibcode,a,b,c,R,R2
136,126,156.0,13.0,7.022641,54.0,Alexandra,,120,2008mpbu...35..167w,0.10979,0.089641,0.085692,0.868222,0.868227370352874
145,130,194.0,-26.0,14.03087,80.0,Sappho,,139,2011icar..214..652d,0.176673,0.128991,0.106838,0.71649,0.7164905267229977
145,130,194.0,-26.0,14.03087,80.0,Sappho,,123,2009a&a...493..291a,0.176673,0.128991,0.106838,0.71649,0.7164905267229977
145,130,194.0,-26.0,14.03087,80.0,Sappho,,149,2013icar..226.1045h,0.176673,0.128991,0.106838,0.71649,0.7164905267229977
160,140,64.0,-88.0,5.224664,130.0,Elektra,,139,2011icar..214..652d,0.099514,0.073852,0.068113,0.80337,0.8033734926938553
160,140,64.0,-88.0,5.224664,130.0,Elektra,,149,2013icar..226.1045h,0.099514,0.073852,0.068113,0.80337,0.8033734926938553
160,140,64.0,-88.0,5.224664,130.0,Elektra,,112,2006icar..185...39m,0.099514,0.073852,0.068113,0.80337,0.8033734926938553
160,140,64.0,-88.0,5.224664,130.0,Elektra,,113,2007a&a...465..331d,0.099514,0.073852,0.068113,0.80337,0.8033734926938553
166,144,347.0,47.0,6.24472,152.0,Atala,,139,2011icar..214..652d,0.184542,0.136416,0.102115,0.650947,0.6509493791650319
166,144,347.0,47.0,6.24472,152.0,Atala,,123,2009a&a...493..291a,0.184542,0.136416,0.102115,0.650947,0.6509493791650319
166,144,347.0,47.0,6.24472,152.0,Atala,,149,2013icar..226.1045h,0.184542,0.136416,0.102115,0.650947,0.6509493791650319
166,144,347.0,47.0,6.24472,152.0,Atala,,141,2011a&a...530a.134h,0.184542,0.136416,0.102115,0.650947,0.6509493791650319
167,145,30.0,-64.0,14.20569,158.0,Koronis,,139,2011icar..214..652d,0.248127,0.187906,0.127674,0.597002,0.5970038829324464
167,145,30.0,-64.0,14.20569,158.0,Koronis,,105,2003icar..162..285s,0.248127,0.187906,0.127674,0.597002,0.5970038829324464
171,147,107.0,-69.0,13.06133,167.0,Urda,,139,2011icar..214..652d,0.178385,0.15426,0.132562,0.801237,0.8012321960717161
171,147,107.0,-69.0,13.06133,167.0,Urda,,120,2008mpbu...35..167w,0.178385,0.15426,0.132562,0.801237,0.8012321960717161
171,147,107.0,-69.0,13.06133,167.0,Urda,,105,2003icar..162..285s,0.178385,0.15426,0.132562,0.801237,0.8012321960717161
172,147,249.0,-68.0,13.06133,167.0,Urda,,139,2011icar..214..652d,0.199803,0.155067,0.147741,0.846097,0.8460946236767626
172,147,249.0,-68.0,13.06133,167.0,Urda,,120,2008mpbu...35..167w,0.199803,0.155067,0.147741,0.846097,0.8460946236767626
172,147,249.0,-68.0,13.06133,167.0,Urda,,105,2003icar..162..285s,0.199803,0.155067,0.147741,0.846097,0.8460946236767626
189,157,9.0,-4.0,6.3192,276.0,Adelheid,,139,2011icar..214..652d,0.111016,0.094095,0.09024,0.88594,0.8859432856734835
189,157,9.0,-4.0,6.3192,276.0,Adelheid,,149,2013icar..226.1045h,0.111016,0.094095,0.09024,0.88594,0.8859432856734835
189,157,9.0,-4.0,6.3192,276.0,Adelheid,,117,2007a&a...473..633m,0.111016,0.094095,0.09024,0.88594,0.8859432856734835
